n_topicos,cv_scores,umass_scores,perplexity_scores,uci_scores
2,0.2516162615199711,-1.1380129167598594,-7.544967542940514,-6.977011274109993
3,0.3507813198763882,-1.1492552010230375,-7.582117072845332,-7.678780857547147
4,0.3504786072737733,-1.589897654003764,-7.6154250250641855,-8.215757017196124
5,0.44924266014060327,-1.2965964922094166,-7.6629743340734615,-7.865616588781451
6,0.44742496729194664,-1.3821886179851723,-7.684070724406382,-7.916751812297583
7,0.5442471289667948,-1.047243855539198,-7.695970885623611,-8.159046274072532
8,0.5413767755351827,-1.3251735490507293,-7.715388044947726,-7.938019024698754
9,0.5148278766235157,-1.1913854090192597,-7.742842155225035,-8.129118989015751
10,0.4802509861527673,-1.2133322626516132,-7.777305809183318,-8.363384999437445
11,0.4982187677345833,-1.3629749726765434,-7.7936164806122425,-8.29351134044053
12,0.5136112098092066,-1.315316640259402,-7.79915997965517,-7.842032133376166
13,0.5282387068767178,-1.3885573609336235,-7.8188347054372525,-8.085159182861245
14,0.5013465084024814,-1.518795681186511,-7.848515587159522,-8.185257537801535
15,0.43953616403617596,-1.7397080993218665,-7.872077554073878,-8.010472830386398
16,0.5352180206049602,-1.4742416860646204,-7.876662532430761,-8.386525955814339
17,0.5402798993276012,-1.4723815997957461,-7.881849565883322,-7.581559855951768
18,0.4829187762918205,-1.5873216109105786,-7.94226846369443,-7.940115828815438
19,0.5217236932041052,-1.4812233147336047,-7.915782330110651,-7.94784723862949
20,0.49430703875804954,-1.536756753294429,-7.951769720067655,-8.161702276065027
21,0.469368628522183,-1.4930502866514541,-8.026143652084222,-8.104624059373013
22,0.502517784803564,-1.5888456275585197,-7.9810367852365465,-8.365399049756043
23,0.4573468800864934,-1.5980504659148114,-7.987977480770753,-8.060522380689084
24,0.4782473590754753,-1.5579337467449317,-7.9924600739329605,-8.331665752958664
25,0.5049180479964838,-1.5421530042462634,-8.049775163633903,-8.12667023102978
26,0.4367720457262742,-1.659321021564105,-8.093505244329897,-8.315697032167925
27,0.506408799009877,-1.7786801377859236,-8.045750941995516,-7.054330737202991
28,0.5149434227863272,-1.7551978838220155,-8.067207200599995,-7.9385489492451216
29,0.4766340978564914,-1.673975621067473,-8.117695644751334,-8.204276944412426
